Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2767.0,66.0,17.0,210.0,18.0,1190.0,234.0,204.0,96.0,2251.0,2,30,Lodgepole Pine
2724.0,160.0,19.0,60.0,4.0,1350.0,236.0,240.0,127.0,2514.0,2,16,Lodgepole Pine
2360.0,65.0,7.0,127.0,21.0,1377.0,227.0,226.0,134.0,339.0,3,5,Ponderosa Pine
2995.0,45.0,4.0,285.0,30.0,5125.0,221.0,231.0,146.0,5706.0,0,11,Lodgepole Pine
2400.0,106.0,27.0,150.0,63.0,342.0,253.0,196.0,51.0,811.0,2,3,Ponderosa Pine
2656.0,20.0,9.0,323.0,73.0,1082.0,214.0,221.0,143.0,1036.0,0,11,Lodgepole Pine
2992.0,105.0,36.0,201.0,141.0,1211.0,252.0,170.0,12.0,1584.0,2,32,Spruce/Fir
3110.0,32.0,14.0,379.0,43.0,5028.0,216.0,208.0,125.0,2845.0,0,29,Spruce/Fir
3242.0,40.0,15.0,85.0,19.0,3330.0,220.0,207.0,118.0,3164.0,2,23,Lodgepole Pine
3025.0,273.0,10.0,391.0,24.0,2797.0,192.0,243.0,190.0,234.0,0,21,Spruce/Fir
3289.0,117.0,18.0,437.0,93.0,256.0,248.0,220.0,93.0,450.0,1,31,Lodgepole Pine
2957.0,43.0,11.0,664.0,194.0,1615.0,222.0,215.0,126.0,1958.0,2,32,Lodgepole Pine
3249.0,318.0,13.0,300.0,94.0,1482.0,187.0,228.0,182.0,2930.0,0,38,Spruce/Fir
2533.0,13.0,9.0,0.0,0.0,484.0,211.0,221.0,146.0,2095.0,0,19,Lodgepole Pine
3131.0,101.0,12.0,90.0,-5.0,4168.0,241.0,223.0,110.0,2026.0,0,28,Spruce/Fir
2789.0,148.0,14.0,60.0,0.0,4407.0,238.0,238.0,128.0,5041.0,0,29,Lodgepole Pine
2630.0,73.0,5.0,212.0,61.0,1262.0,226.0,230.0,139.0,1348.0,2,2,Ponderosa Pine
2739.0,94.0,19.0,30.0,3.0,2753.0,246.0,208.0,83.0,2210.0,0,28,Aspen
3162.0,68.0,9.0,134.0,21.0,2491.0,230.0,221.0,124.0,1598.0,2,30,Spruce/Fir
2852.0,250.0,21.0,426.0,137.0,443.0,170.0,250.0,214.0,1917.0,2,9,Lodgepole Pine
2089.0,302.0,15.0,134.0,85.0,285.0,177.0,232.0,194.0,531.0,3,9,Ponderosa Pine
2922.0,26.0,16.0,170.0,6.0,4749.0,211.0,204.0,125.0,3478.0,0,22,Lodgepole Pine
3065.0,120.0,16.0,510.0,70.0,2608.0,246.0,225.0,103.0,2793.0,2,32,Lodgepole Pine
3052.0,85.0,9.0,607.0,80.0,2526.0,233.0,225.0,124.0,2274.0,2,31,Spruce/Fir
3107.0,302.0,16.0,150.0,7.0,3283.0,172.0,230.0,198.0,600.0,0,28,Spruce/Fir
2114.0,321.0,38.0,60.0,30.0,180.0,100.0,174.0,199.0,702.0,3,9,Ponderosa Pine
3057.0,138.0,18.0,242.0,42.0,825.0,244.0,231.0,109.0,1279.0,2,12,Lodgepole Pine
3277.0,173.0,8.0,524.0,47.0,4387.0,225.0,244.0,152.0,1045.0,0,28,Lodgepole Pine
3333.0,193.0,11.0,268.0,54.0,3577.0,219.0,249.0,163.0,1543.0,2,31,Spruce/Fir
2358.0,293.0,18.0,60.0,15.0,258.0,166.0,233.0,206.0,797.0,3,9,Ponderosa Pine
3086.0,103.0,12.0,162.0,37.0,582.0,240.0,225.0,113.0,488.0,2,30,Spruce/Fir
3030.0,57.0,13.0,95.0,8.0,2037.0,228.0,211.0,114.0,1366.0,0,28,Lodgepole Pine
3567.0,24.0,16.0,618.0,155.0,2808.0,209.0,203.0,127.0,1577.0,0,39,Spruce/Fir
2952.0,104.0,15.0,134.0,30.0,5609.0,245.0,219.0,99.0,4217.0,0,23,Lodgepole Pine
3138.0,153.0,14.0,90.0,0.0,1167.0,236.0,240.0,131.0,2403.0,0,28,Spruce/Fir
2489.0,339.0,22.0,247.0,61.0,792.0,167.0,202.0,171.0,497.0,3,9,Douglas-fir
2786.0,79.0,16.0,30.0,8.0,1950.0,240.0,209.0,95.0,2721.0,0,22,Lodgepole Pine
2918.0,72.0,12.0,201.0,14.0,4452.0,233.0,217.0,115.0,3989.0,0,29,Spruce/Fir
